"State","Metal.Level","variable","value","year","age"
"AK","Bronze","10",179.89124668435,"2014",10
"AK","Catastrophic","10",143,"2014",10
"AK","Gold","10",250.814655172414,"2014",10
"AK","Silver","10",217.018567639257,"2014",10
"AL","Bronze","10",96.5887142857143,"2014",10
"AL","Catastrophic","10",83.0371428571429,"2014",10
"AL","Gold","10",154.130437956204,"2014",10
"AL","Platinum","10",184.213857142857,"2014",10
"AL","Silver","10",122.587518248175,"2014",10
"AR","Bronze","10",129.184693548387,"2014",10
"AR","Catastrophic","10",92.4993243243243,"2014",10
"AR","Gold","10",188.829211009174,"2014",10
"AR","Silver","10",163.236525423729,"2014",10
"AZ","Bronze","10",135.304727272727,"2014",10
"AZ","Catastrophic","10",103.194047619048,"2014",10
"AZ","Gold","10",187.909159891599,"2014",10
"AZ","Platinum","10",158.941355932203,"2014",10
"AZ","Silver","10",162.564720357942,"2014",10
"DE","Bronze","10",127.83,"2014",10
"DE","Catastrophic","10",93.8,"2014",10
"DE","Gold","10",180.374444444444,"2014",10
"DE","Platinum","10",209.53,"2014",10
"DE","Silver","10",151.73,"2014",10
"FL","Bronze","10",134.618057040998,"2014",10
"FL","Catastrophic","10",106.32524822695,"2014",10
"FL","Gold","10",175.158965517241,"2014",10
"FL","Platinum","10",191.481414427157,"2014",10
"FL","Silver","10",158.074334038055,"2014",10
"GA","Bronze","10",142.201497405486,"2014",10
"GA","Catastrophic","10",105.682821428571,"2014",10
"GA","Gold","10",207.884096692112,"2014",10
"GA","Platinum","10",163.815053763441,"2014",10
"GA","Silver","10",170.410570032573,"2014",10
"IA","Bronze","10",116.449642004773,"2014",10
"IA","Catastrophic","10",93.5832762836186,"2014",10
"IA","Gold","10",163.833055954089,"2014",10
"IA","Platinum","10",196.354505119454,"2014",10
"IA","Silver","10",144.734769775679,"2014",10
"IL","Bronze","10",118.306954365079,"2014",10
"IL","Catastrophic","10",94.3933121019108,"2014",10
"IL","Gold","10",181.064894545455,"2014",10
"IL","Platinum","10",197.4884,"2014",10
"IL","Silver","10",157.368741633199,"2014",10
"IN","Bronze","10",136.715005181347,"2014",10
"IN","Catastrophic","10",108.277803030303,"2014",10
"IN","Gold","10",217.00677852349,"2014",10
"IN","Silver","10",168.718919288646,"2014",10
"KS","Bronze","10",103.069806378132,"2014",10
"KS","Catastrophic","10",74.8848703703704,"2014",10
"KS","Gold","10",148.454165694282,"2014",10
"KS","Platinum","10",181.639611650485,"2014",10
"KS","Silver","10",125.013931379557,"2014",10
"LA","Bronze","10",125.415370675453,"2014",10
"LA","Catastrophic","10",92.9816666666667,"2014",10
"LA","Gold","10",184.310078740157,"2014",10
"LA","Platinum","10",206.263111888112,"2014",10
"LA","Silver","10",163.790807248764,"2014",10
"ME","Bronze","10",148.564464285714,"2014",10
"ME","Catastrophic","10",119.1734375,"2014",10
"ME","Gold","10",227.750625,"2014",10
"ME","Silver","10",177.340625,"2014",10
"MI","Bronze","10",118.523240223464,"2014",10
"MI","Catastrophic","10",95.7049805447471,"2014",10
"MI","Gold","10",187.316402569593,"2014",10
"MI","Platinum","10",185.166666666667,"2014",10
"MI","Silver","10",157.342106339468,"2014",10
"MO","Bronze","10",126.564929396662,"2014",10
"MO","Catastrophic","10",87.7158620689655,"2014",10
"MO","Gold","10",199.421571753986,"2014",10
"MO","Silver","10",156.883522561863,"2014",10
"MS","Bronze","10",153.529106145251,"2014",10
"MS","Catastrophic","10",120.1405,"2014",10
"MS","Gold","10",218.966118012422,"2014",10
"MS","Platinum","10",173.875,"2014",10
"MS","Silver","10",184.896927374302,"2014",10
"MT","Bronze","10",110.986004464286,"2014",10
"MT","Catastrophic","10",99.6244642857143,"2014",10
"MT","Gold","10",155.220663265306,"2014",10
"MT","Platinum","10",153.947142857143,"2014",10
"MT","Silver","10",132.969071428571,"2014",10
"NC","Bronze","10",129.632072649573,"2014",10
"NC","Catastrophic","10",91.7080588235294,"2014",10
"NC","Gold","10",189.490929648241,"2014",10
"NC","Platinum","10",216.578828125,"2014",10
"NC","Silver","10",158.681406649616,"2014",10
"ND","Bronze","10",120.182,"2014",10
"ND","Catastrophic","10",96.9792666666667,"2014",10
"ND","Gold","10",164.7325,"2014",10
"ND","Silver","10",146.748,"2014",10
"NE","Bronze","10",121.462022667829,"2014",10
"NE","Catastrophic","10",88.1470070422535,"2014",10
"NE","Gold","10",160.627780678851,"2014",10
