"BusinessYear","StateCode","aca_age","MetalLevel","rate"
2014,"AK",10,"Bronze",204.419971139971
2014,"AK",10,"Catastrophic",143
2014,"AK",10,"Gold",304.558323863636
2014,"AK",10,"Silver",251.685086580087
2014,"AK",21,"Bronze",323.437857099864
2014,"AK",21,"Catastrophic",226.166666666667
2014,"AK",21,"Gold",481.999972693228
2014,"AK",21,"Silver",398.518629785247
2014,"AK",27,"Bronze",349.176818727491
2014,"AK",27,"Catastrophic",244.333333333333
2014,"AK",27,"Gold",520.369548611111
2014,"AK",27,"Silver",430.114187452759
2014,"AK",30,"Bronze",389.141277777778
2014,"AK",30,"Catastrophic",272.2
2014,"AK",30,"Gold",579.907614320728
2014,"AK",30,"Silver",479.338895624917
2014,"AK",40,"Bronze",467.049825396825
2014,"AK",40,"Catastrophic",326.7
2014,"AK",40,"Gold",696.01565625
2014,"AK",40,"Silver",575.29203968254
2014,"AK",50,"Bronze",705.994928571429
2014,"AK",50,"Catastrophic",493.8
2014,"AK",50,"Gold",1052.09710416667
2014,"AK",50,"Silver",869.580373015873
2014,"AK",60,"Bronze",930.853293650794
2014,"AK",60,"Catastrophic",650.666666666667
2014,"AK",60,"Gold",1387.1053125
2014,"AK",60,"Silver",1146.58505291005
2014,"AL",10,"Bronze",128.025396825397
2014,"AL",10,"Catastrophic",84.6027777777778
2014,"AL",10,"Gold",179.586666666667
2014,"AL",10,"Platinum",209.098009259259
2014,"AL",10,"Silver",153.048842592593
2014,"AL",21,"Bronze",202.560016534392
2014,"AL",21,"Catastrophic",133.863981481481
2014,"AL",21,"Gold",284.139176954733
2014,"AL",21,"Platinum",330.831550925926
2014,"AL",21,"Silver",242.149292695473
2014,"AL",27,"Bronze",218.68919973545
2014,"AL",27,"Catastrophic",144.521296296296
2014,"AL",27,"Gold",306.762613168724
2014,"AL",27,"Platinum",357.173580246914
2014,"AL",27,"Silver",261.430324074074
2014,"AL",30,"Bronze",243.696392857143
2014,"AL",30,"Catastrophic",161.046
2014,"AL",30,"Gold",341.841966049383
2014,"AL",30,"Platinum",398.016361111111
2014,"AL",30,"Silver",291.325146604938
2014,"AL",40,"Bronze",292.488609126984
2014,"AL",40,"Catastrophic",193.291833333333
2014,"AL",40,"Gold",410.284773148148
2014,"AL",40,"Platinum",477.707104166667
2014,"AL",40,"Silver",349.653699074074
2014,"AL",50,"Bronze",442.128944444444
2014,"AL",50,"Catastrophic",292.179388888889
2014,"AL",50,"Gold",620.190898148148
2014,"AL",50,"Platinum",722.105407407407
2014,"AL",50,"Silver",528.540240740741
2014,"AL",60,"Bronze",582.978416005291
2014,"AL",60,"Catastrophic",385.25962962963
2014,"AL",60,"Gold",817.76612654321
2014,"AL",60,"Platinum",952.147723765432
2014,"AL",60,"Silver",696.917777777778
2014,"AR",10,"Bronze",131.45605
2014,"AR",10,"Catastrophic",81.9741666666667
2014,"AR",10,"Gold",187.614236111111
2014,"AR",10,"Silver",168.469558823529
2014,"AR",21,"Bronze",207.983519444444
2014,"AR",21,"Catastrophic",129.6953125
2014,"AR",21,"Gold",296.834221643519
2014,"AR",21,"Silver",266.547614379085
2014,"AR",27,"Bronze",224.543533333333
2014,"AR",27,"Catastrophic",140.021736111111
2014,"AR",27,"Gold",320.46962962963
2014,"AR",27,"Silver",287.770359477124
2014,"AR",30,"Bronze",250.220136666667
