state,uninsuredrate2010,uninsuredrate2015,pctdecuninsured1015,pplgainingcoverage1015,pplwithemployercoverage15,coveredunderage26in2013,total0810,children0810,adultmale0810,adultfemale0810,total1315,children1315,adultmale1315,adultfemale1315,familypremiumspctgrowth0010,fampremiumpctgrowth1015,precondition2009
Alabama ,14.6,10.1,4.5,215000,2545000,35000,1566000,396000,561000,609000,2140837,422895,831232,886709,7.1,5.2,"2,040,458"
Alaska ,19.9,14.9,5,36000,390000,6000,237000,64000,87000,86000,316518,66269,126100,124149,--,8.2,"318,926"
Arizona ,16.9,10.8,6.1,410000,3288000,50000,2091000,570000,752000,769000,2726206,598585,1066492,1061129,7.4,4.2,"2,794,358"
Arkansas ,17.5,9.5,8,234000,1365000,21000,865000,219000,313000,333000,1102338,225176,430226,446936,6.4,3.8,"1,239,180"
California,18.5,8.6,9.9,3826000,19552000,294000,12092000,3255000,4389000,4448000,15867909,3351780,6191627,6324503,8.3,5.5,"16,133,192"
Colorado,15.9,8.1,7.8,419000,2949000,40000,1902000,521000,685000,696000,2519638,556491,972911,990235,7,4.8,"2,250,003"
Connecticut,9.1,6,3.1,110000,2148000,25000,1386000,367000,494000,525000,1819938,364693,708801,746444,7.4,4.2,"1,554,628"
Delaware ,9.7,5.9,3.8,35000,564000,7000,320000,86000,113000,121000,417265,84080,161610,171575,--,5.2,"383,607"
District of Columbia,7.6,3.8,3.8,25000,388000,6000,208000,34000,83000,91000,281235,39399,114305,127531,--,4.7,"268,134"
Florida ,21.3,13.3,8,1597000,8847000,132000,5587000,1411000,2006000,2170000,7289873,1423940,2841807,3024126,8.2,1.3,"7,838,642"
Georgia ,19.7,13.9,5.8,581000,5240000,74000,3317000,916000,1145000,1256000,4187077,883809,1598625,1704643,7,5.7,"4,323,897"
Hawaii,7.9,4,3.9,54000,867000,9000,462000,115000,174000,173000,631152,120194,254510,256448,--,5.8,"560,494"
Idaho,17.7,11,6.7,109000,836000,11000,566000,173000,195000,198000,699703,170463,267497,261743,--,8,"662,319"
Illinois ,13.8,7.1,6.7,850000,7359000,91000,4670000,1192000,1735000,1743000,5883105,1189924,2312855,2380326,7.4,3.2,"5,635,622"
Indiana ,14.8,9.6,5.2,339000,3825000,50000,2259000,615000,822000,822000,2915827,627525,1121576,1166726,7.7,4.3,"2,796,375"
Iowa ,9.3,5,4.3,132000,1862000,24000,1187000,311000,443000,433000,1530502,322124,604268,604110,7.4,4.2,"1,290,303"
Kansas ,13.9,9.1,4.8,137000,1659000,22000,1021000,279000,368000,374000,1310249,290340,495399,524509,8,4.5,"1,213,671"
Kentucky,15.3,6,9.3,404000,2316000,31000,1414000,362000,524000,528000,1884719,378519,743303,762897,6.5,4.5,"1,894,874"
Louisiana ,17.8,11.9,5.9,269000,2295000,34000,1411000,385000,488000,538000,1743084,358711,670731,713642,7.3,5.4,"1,951,886"
Maine ,10.1,8.4,1.7,22000,702000,8000,431000,103000,156000,172000,588281,107573,229386,251322,--,2,"590,266"
Maryland,11.3,6.6,4.7,278000,3700000,41000,2251000,585000,794000,872000,2953834,582300,1146439,1225095,6.7,5.2,"2,542,844"
